Deliver one-by-one (78 moves)
@5, n = L, q = Tr2, load= {  }, drop= {  }, moving L->A:E11 arr 8
@7, n = L, q = Tr1, load= {  }, drop= { P81 }, moving L->F:E10 arr 8
@8, n = F, q = Tr1, load= { P92 }, drop= {  }, moving F->D:E7 arr 11
@8, n = A, q = Tr2, load= {  }, drop= { P51 }, moving A->B:E1 arr 10
@10, n = B, q = Tr2, load= { P12 }, drop= { P52 }, moving B->C:E2 arr 12
@11, n = D, q = Tr1, load= {  }, drop= {  }, moving D->H:E5 arr 12
@12, n = H, q = Tr1, load= {  }, drop= { P13 }, moving H->D:E5 arr 13
@12, n = C, q = Tr2, load= {  }, drop= {  }, moving C->E:E3 arr 15
@13, n = D, q = Tr1, load= {  }, drop= {  }, moving D->E:E4 arr 16
@15, n = E, q = Tr2, load= { P31 }, drop= {  }, moving E->D:E4 arr 18
@16, n = E, q = Tr1, load= {  }, drop= { P82 }, moving E->C:E3 arr 19
@18, n = D, q = Tr2, load= { P41 }, drop= { P12 }, moving D->H:E5 arr 19
@19, n = C, q = Tr1, load= { P21,P22 }, drop= {  }, moving C->B:E2 arr 21
@19, n = H, q = Tr2, load= {  }, drop= {  }, moving H->K:E6 arr 23
@21, n = B, q = Tr1, load= {  }, drop= {  }, moving B->A:E1 arr 23
@23, n = A, q = Tr1, load= {  }, drop= { P22 }, moving A->L:E11 arr 26
@23, n = K, q = Tr2, load= {  }, drop= { P41 }, moving K->H:E6 arr 27
@26, n = L, q = Tr1, load= {  }, drop= {  }, moving L->F:E10 arr 27
@27, n = F, q = Tr1, load= { P91 }, drop= {  }, moving F->L:E10 arr 28
@27, n = H, q = Tr2, load= { P71 }, drop= {  }, moving H->D:E5 arr 28
@28, n = L, q = Tr1, load= {  }, drop= {  }, moving L->A:E11 arr 31
@28, n = D, q = Tr2, load= {  }, drop= {  }, moving D->E:E4 arr 31
@31, n = A, q = Tr1, load= {  }, drop= {  }, moving A->B:E1 arr 33
@31, n = E, q = Tr2, load= {  }, drop= {  }, moving E->C:E3 arr 34
@33, n = B, q = Tr1, load= {  }, drop= { P91 }, moving B->C:E2 arr 35
@34, n = C, q = Tr2, load= {  }, drop= { P31 }, moving C->B:E2 arr 36
@35, n = C, q = Tr1, load= {  }, drop= {  }, moving C->E:E3 arr 38
@36, n = B, q = Tr2, load= {  }, drop= {  }, moving B->A:E1 arr 38
@38, n = E, q = Tr1, load= {  }, drop= {  }, moving E->D:E4 arr 41
@38, n = A, q = Tr2, load= {  }, drop= { P71 }, moving A->L:E11 arr 41
@41, n = D, q = Tr1, load= {  }, drop= {  }, moving D->H:E5 arr 42
@41, n = L, q = Tr2, load= { P61 }, drop= {  }, moving L->F:E10 arr 42
@42, n = H, q = Tr1, load= {  }, drop= {  }, moving H->K:E6 arr 46
@42, n = F, q = Tr2, load= {  }, drop= {  }, moving F->D:E7 arr 45
@45, n = D, q = Tr2, load= {  }, drop= {  }, moving D->E:E4 arr 48
@46, n = K, q = Tr1, load= { P71 }, drop= { P11,P92,P21 }, moving K->H:E6 arr 50
@48, n = E, q = Tr2, load= {  }, drop= { P61 }, moving E->D:E4 arr 51
@50, n = H, q = Tr1, load= {  }, drop= {  }, moving H->D:E5 arr 51
@51, n = D, q = Tr1, load= { P42 }, drop= {  }, moving D->F:E7 arr 54
@51, n = D, q = Tr2, load= {  }, drop= {  }, moving D->F:E7 arr 54
@54, n = F, q = Tr1, load= {  }, drop= {  }, moving F->L:E10 arr 55
@54, n = F, q = Tr2, load= { P93 }, drop= {  }, moving F->D:E7 arr 57
@55, n = L, q = Tr1, load= { P62 }, drop= { P42 }, moving L->A:E11 arr 58
@57, n = D, q = Tr2, load= {  }, drop= {  }, moving D->E:E4 arr 60
@58, n = A, q = Tr1, load= {  }, drop= { P71 }, moving A->B:E1 arr 60
@60, n = B, q = Tr1, load= {  }, drop= { P62 }, moving B->C:E2 arr 62
@60, n = E, q = Tr2, load= {  }, drop= { P93 }, parked
@62, n = C, q = Tr1, load= {  }, drop= {  }, moving C->E:E3 arr 65
@65, n = E, q = Tr1, load= { P32 }, drop= {  }, moving E->C:E3 arr 68
@68, n = C, q = Tr1, load= {  }, drop= { P32 }, parked
